Date,Tracy,CCF,Total,NDOI 
6/1/2021,801,0,801,3207
6/2/2021,800,0,800,2364
6/3/2021,799,0,799,2309
6/4/2021,798,189,987,2226
6/5/2021,801,92,892,2330
6/6/2021,798,138,936,2910
6/7/2021,804,282,1086,2565
6/8/2021,800,184,984,2633
6/9/2021,799,184,983,3175
6/10/2021,413,625,1039,3392
6/11/2021,0,750,750,4260
6/12/2021,0,750,750,3916
6/13/2021,0,750,750,3906
6/14/2021,0,750,750,3675
6/15/2021,0,750,750,3566
6/16/2021,0,749,749,3538
6/17/2021,487,0,487,3500
6/18/2021,536,0,536,3007
6/19/2021,801,0,801,2938
6/20/2021,806,0,806,3054
6/21/2021,808,0,808,3474
6/22/2021,808,0,808,3290
6/23/2021,809,0,809,3655
6/24/2021,809,0,809,3682
6/25/2021,809,0,809,3584
6/26/2021,810,0,810,3535
6/27/2021,811,0,811,3825
6/28/2021,810,0,810,3480
6/29/2021,806,0,806,3300
6/30/2021,805,0,805,2823
7/1/2021,803,0,803,2747
7/2/2021,802,0,802,3329
7/3/2021,400,1473,1873,3043
7/4/2021,807,0,807,2720
7/5/2021,808,0,808,2849
7/6/2021,808,0,808,3461
7/7/2021,807,0,807,3493
7/8/2021,807,0,807,3873
7/9/2021,806,0,806,4140
7/10/2021,808,0,808,3798
7/11/2021,809,0,809,3651
7/12/2021,809,0,809,3461
7/13/2021,804,0,804,3741
7/14/2021,799,0,799,3298
7/15/2021,793,0,793,3366
7/16/2021,800,0,800,3007
7/17/2021,800,229,1029,3159
7/18/2021,800,229,1029,3155
7/19/2021,802,229,1031,3388
7/20/2021,804,125,929,3476
7/21/2021,804,94,898,3496
7/22/2021,806,184,990,3599
7/23/2021,804,229,1034,3767
7/24/2021,807,229,1036,3689
7/25/2021,807,229,1036,3379
7/26/2021,805,229,1035,3407
7/27/2021,823,235,1058,3416
7/28/2021,870,229,1099,3686
7/29/2021,835,229,1065,2776
7/30/2021,803,207,1010,3058
7/31/2021,803,229,1032,3026
8/1/2021,803,184,987,3010
8/2/2021,801,268,1069,3121
8/3/2021,803,229,1032,3451
8/4/2021,803,184,986,3094
8/5/2021,802,229,1032,2813
8/6/2021,817,229,1047,3473
8/7/2021,804,229,1033,3794
8/8/2021,804,229,1034,3076
8/9/2021,803,275,1078,3747
8/10/2021,803,229,1033,3649
8/11/2021,802,229,1031,3511
8/12/2021,802,229,1031,3276
8/13/2021,800,229,1029,3368
8/14/2021,798,229,1027,3463
8/15/2021,799,229,1028,3454
8/16/2021,802,235,1037,3393
8/17/2021,804,235,1040,3582
8/18/2021,805,275,1080,3797
8/19/2021,804,275,1079,4020
8/20/2021,924,275,1199,4026
8/21/2021,987,275,1262,3854
8/22/2021,987,275,1262,3686
8/23/2021,990,271,1260,3885
8/24/2021,986,282,1268,3560
8/25/2021,985,229,1215,3693
8/26/2021,977,229,1206,3608
8/27/2021,838,229,1068,4112
8/28/2021,992,229,1222,3718
8/29/2021,994,229,1223,3486
8/30/2021,996,229,1226,3604
8/31/2021,1000,275,1275,3574
9/1/2021,1759,235,1994,2696
9/2/2021,1737,275,2013,2952
9/3/2021,1730,275,2006,3263
9/4/2021,1732,275,2008,3261
9/5/2021,1736,275,2012,3423
9/6/2021,1735,275,2011,3556
9/7/2021,1735,240,1975,3731
9/8/2021,1728,235,1964,3367
9/9/2021,1743,235,1979,3307
9/10/2021,1743,282,2026,3066
9/11/2021,1904,329,2233,3771
9/12/2021,1899,377,2276,3966
9/13/2021,1904,377,2280,3873
9/14/2021,1897,377,2274,3802
9/15/2021,2552,376,2928,3048
9/16/2021,2554,376,2930,2735
9/17/2021,2547,376,2923,2963
9/18/2021,2550,423,2973,2777
9/19/2021,2704,329,3033,2577
9/20/2021,2701,329,3030,3072
9/21/2021,2708,377,3084,2803
9/22/2021,2704,329,3034,2777
9/23/2021,2702,423,3126,2347
9/24/2021,2703,423,3127,2285
9/25/2021,2701,423,3124,2410
9/26/2021,2702,376,3078,2239
9/27/2021,2700,376,3076,2058
9/28/2021,2685,376,3061,2064
9/29/2021,1746,377,2123,3448
9/30/2021,797,329,1126,3951
