Date,NDOIcfs
10/1/2020,4646
10/2/2020,3949
10/3/2020,4091
10/4/2020,3695
10/5/2020,3455
10/6/2020,3890
10/7/2020,4430
10/8/2020,3689
10/9/2020,4300
10/10/2020,4320
10/11/2020,3913
10/12/2020,4517
10/13/2020,3568
10/14/2020,3828
10/15/2020,4240
10/16/2020,3944
10/17/2020,3809
10/18/2020,3931
10/19/2020,4538
10/20/2020,4775
10/21/2020,4942
10/22/2020,4407
10/23/2020,4401
10/24/2020,4157
10/25/2020,4374
10/26/2020,6418
10/27/2020,6015
10/28/2020,4587
10/29/2020,4696
10/30/2020,5283
10/31/2020,4950
11/1/2020,5836
11/2/2020,6572
11/3/2020,5761
11/4/2020,5467
11/5/2020,5215
11/6/2020,4930
11/7/2020,4662
11/8/2020,6060
11/9/2020,6563
11/10/2020,6169
11/11/2020,4497
11/12/2020,4702
11/13/2020,3903
11/14/2020,4584
11/15/2020,4982
11/16/2020,4913
11/17/2020,4476
11/18/2020,4391
11/19/2020,5471
11/20/2020,6128
11/21/2020,5689
11/22/2020,5277
11/23/2020,4726
11/24/2020,4603
11/25/2020,4408
11/26/2020,4428
11/27/2020,4631
11/28/2020,4199
11/29/2020,4347
11/30/2020,3988
12/1/2020,4373
12/2/2020,4569
12/3/2020,4398
12/4/2020,4869
12/5/2020,4789
12/6/2020,4888
12/7/2020,5293
12/8/2020,5547
12/9/2020,5153
12/10/2020,5271
12/11/2020,5041
12/12/2020,7017
12/13/2020,7615
12/14/2020,12733
12/15/2020,13775
12/16/2020,14253
12/17/2020,12158
12/18/2020,13219
12/19/2020,9156
12/20/2020,9269
12/21/2020,8447
12/22/2020,7853
12/23/2020,5159
12/24/2020,4686
12/25/2020,4181
12/26/2020,3506
12/27/2020,3826
12/28/2020,3878
12/29/2020,4895
12/30/2020,5939
12/31/2020,5990
1/1/2021,6060
1/2/2021,6109
1/3/2021,6049
1/4/2021,5411
1/5/2021,5367
1/6/2021,5779
1/7/2021,5390
1/8/2021,5095
1/9/2021,5339
1/10/2021,5469
1/11/2021,5140
1/12/2021,6274
1/13/2021,6226
1/14/2021,6354
1/15/2021,6435
1/16/2021,5960
1/17/2021,5977
1/18/2021,6359
1/19/2021,6630
1/20/2021,5496
1/21/2021,4587
1/22/2021,4666
1/23/2021,5037
1/24/2021,5344
1/25/2021,5611
1/26/2021,6209
1/27/2021,6019
1/28/2021,14010
1/29/2021,24983
1/30/2021,27072
1/31/2021,29327
2/1/2021,30375
2/2/2021,21687
2/3/2021,14269
2/4/2021,12735
2/5/2021,13284
2/6/2021,14483
2/7/2021,13622
2/8/2021,9669
2/9/2021,6502
2/10/2021,7736
2/11/2021,7587
2/12/2021,9637
2/13/2021,10404
2/14/2021,10230
2/15/2021,11127
2/16/2021,10184
2/17/2021,9100
2/18/2021,8492
2/19/2021,8104
2/20/2021,7300
2/21/2021,6686
2/22/2021,7417
2/23/2021,7349
2/24/2021,7267
2/25/2021,7574
2/26/2021,6685
2/27/2021,7322
2/28/2021,7873
3/1/2021,6933
3/2/2021,7257
3/3/2021,7135
3/4/2021,7059
3/5/2021,7622
3/6/2021,6890
3/7/2021,7485
3/8/2021,7255
3/9/2021,7154
3/10/2021,8435
3/11/2021,9222
3/12/2021,11093
3/13/2021,12303
3/14/2021,12308
3/15/2021,10051
3/16/2021,7443
3/17/2021,7261
3/18/2021,7374
3/19/2021,11139
3/20/2021,12553
3/21/2021,12664
3/22/2021,13193
3/23/2021,13599
3/24/2021,11226
3/25/2021,9304
3/26/2021,8342
3/27/2021,8166
3/28/2021,7783
3/29/2021,7417
3/30/2021,7073
3/31/2021,7098
4/1/2021,7317
4/2/2021,7181
4/3/2021,7137
4/4/2021,7285
4/5/2021,7135
4/6/2021,7155
4/7/2021,7392
4/8/2021,6951
4/9/2021,7259
4/10/2021,7107
4/11/2021,7287
4/12/2021,7209
4/13/2021,7159
4/14/2021,7261
4/15/2021,7354
4/16/2021,6959
4/17/2021,6820
4/18/2021,7484
4/19/2021,6690
4/20/2021,5931
4/21/2021,6236
4/22/2021,6284
4/23/2021,5763
4/24/2021,5932
4/25/2021,5715
4/26/2021,5768
4/27/2021,5649
4/28/2021,5468
4/29/2021,5721
4/30/2021,5319
5/1/2021,4167
5/2/2021,3775
5/3/2021,4033
5/4/2021,3969
5/5/2021,3533
5/6/2021,3234
5/7/2021,2960
5/8/2021,3683
5/9/2021,4014
5/10/2021,4074
5/11/2021,5676
5/12/2021,5612
5/13/2021,5550
5/14/2021,5756
5/15/2021,6064
5/16/2021,6227
5/17/2021,5387
5/18/2021,5768
5/19/2021,5550
5/20/2021,5422
5/21/2021,6244
5/22/2021,5769
5/23/2021,5674
5/24/2021,6056
5/25/2021,6080
5/26/2021,5846
5/27/2021,5366
5/28/2021,4883
5/29/2021,4628
5/30/2021,4020
5/31/2021,3709
6/1/2021,3206
6/2/2021,2364
6/3/2021,2309
6/4/2021,2226
6/5/2021,2330
6/6/2021,2909
6/7/2021,2563
6/8/2021,2633
6/9/2021,3173
6/10/2021,3392
6/11/2021,4262
6/12/2021,3916
6/13/2021,3906
6/14/2021,3675
6/15/2021,3567
6/16/2021,3538
6/17/2021,3500
6/18/2021,3008
6/19/2021,2938
6/20/2021,3055
6/21/2021,3475
6/22/2021,3290
6/23/2021,3655
6/24/2021,3681
6/25/2021,3584
6/26/2021,3534
6/27/2021,3825
6/28/2021,3480
6/29/2021,3300
6/30/2021,2823
7/1/2021,2747
7/2/2021,3328
7/3/2021,3043
7/4/2021,2711
7/5/2021,2837
7/6/2021,3459
7/7/2021,3493
7/8/2021,3872
7/9/2021,4139
7/10/2021,3799
