Date (MM/DD/YYYY),Time (HH:mm:ss),Chlorophyll RFU,SpCond µS/cm,ODO mg/L,TAL PC RFU,Turbidity FNU,pH,Temp °C
8/13/2021,12:51:48,1.04,21604.4,6.56,0.13,20.96,7.14,20.27
8/13/2021,13:06:48,1.1,21629.4,6.68,0.08,20.98,7.17,20.536
8/13/2021,13:21:48,1.52,21546.4,6.99,0.12,24.35,7.27,21.366
8/13/2021,13:36:48,1.87,21502.1,7.29,0.15,42.65,7.48,22.559
8/13/2021,13:51:48,2.03,21475.1,7.31,0.25,58.43,7.49,22.443
8/13/2021,14:06:48,2.09,21127,8.33,0.68,246.31,7.86,22.155
8/13/2021,14:21:48,1.69,21166,8.36,0.63,234.02,7.86,22.052
8/13/2021,14:36:48,1.62,21225.4,8.21,0.45,158.92,7.85,22.599
8/13/2021,14:51:48,1.56,21248.6,8.2,0.41,135.77,7.85,22.779
8/13/2021,15:06:48,1.46,21281.2,8.2,0.43,164.42,7.86,22.587
8/13/2021,15:21:48,1.5,21308,8.23,0.43,153.3,7.86,22.596
8/13/2021,15:36:48,1.5,21299.7,8.28,0.47,155.33,7.87,22.37
8/13/2021,15:51:48,1.54,21217.2,8.33,0.43,134.28,7.88,22.181
8/13/2021,16:06:48,1.46,21209.6,8.19,0.38,119.74,7.87,22.928
8/13/2021,16:21:48,1.45,21227.9,8.17,0.37,130.96,7.88,22.981
8/13/2021,16:36:48,1.54,21256.7,8.09,0.38,146,7.89,23.32
8/13/2021,16:51:48,1.62,21142.6,8.09,0.41,124.65,7.88,23.19
8/13/2021,17:06:48,1.53,20958.7,8.09,0.31,106.56,7.88,23.252
8/13/2021,17:21:48,1.47,20912.9,8.07,0.35,103.87,7.89,23.307
8/13/2021,17:36:48,1.44,20909,8.13,0.36,119.32,7.89,22.732
8/13/2021,17:51:48,1.45,20933.5,8.22,0.41,131.05,7.89,22.11
8/13/2021,18:06:48,1.48,20934.8,8.22,0.42,138.81,7.89,21.902
8/13/2021,18:21:48,1.53,20936.1,8.23,0.45,129.59,7.89,21.837
8/13/2021,18:36:48,1.51,20864.9,8.23,0.44,119.26,7.89,21.72
8/13/2021,18:51:48,1.56,20806.6,8.3,0.47,134.41,7.89,21.333
8/13/2021,19:06:48,1.57,20856.9,8.3,0.48,143.22,7.89,21.158
8/13/2021,19:21:48,1.6,20796,8.22,0.43,117.9,7.89,21.469
